Name,FromDate,ToDate,Position,Height,Weight,Born,College,URL,Shoots,DOB,Deceased
Vinny Del Negro,1989,2002,G,6-4,185,"August 9, 1966",North Carolina State University,http://basketball-reference.com/players/d/delnevi01.html, Right,1966-08-09,
Bison Dele,1992,1999,F-C,6-9,235,"April 6, 1969",University of Arizona,http://basketball-reference.com/players/d/delebi01.html, Left,1969-04-06,2002-07-07
Carlos Delfino,2005,2013,G,6-6,230,"August 29, 1982", ,http://basketball-reference.com/players/d/delfica01.html, Right,1982-08-29,
Tony Delk,1997,2006,G,6-1,189,"January 28, 1974",University of Kentucky,http://basketball-reference.com/players/d/delkto01.html, Right,1974-01-28,
Matthew Dellavedova,2014,2015,G,6-4,200,"September 8, 1990",Saint Mary's College of California,http://basketball-reference.com/players/d/dellama01.html, Right,1990-09-08,
Nate DeLong,1952,1952,C,6-6,220,"January 5, 1926",University of Wisconsin-River Falls,http://basketball-reference.com/players/d/delonna01.html, Right,1926-01-05,2010-05-05
Fennis Dembo,1989,1989,F,6-5,215,"January 24, 1966",University of Wyoming,http://basketball-reference.com/players/d/dembofe01.html, Right,1966-01-24,
Larry Demic,1980,1982,F-C,6-9,225,"June 27, 1957",University of Arizona,http://basketball-reference.com/players/d/demicla01.html, Right,1957-06-27,
Dell Demps,1994,1997,G,6-3,205,"February 12, 1970",University of the Pacific,http://basketball-reference.com/players/d/dempsde01.html, Right,1970-02-12,
George Dempsey,1955,1959,G,6-2,190,"July 19, 1929",King's College,http://basketball-reference.com/players/d/dempsge01.html, Right,1929-07-19,
Luol Deng,2005,2015,F,6-9,220,"April 16, 1985",Duke University,http://basketball-reference.com/players/d/denglu01.html, Right,1985-04-16,
Kenny Dennard,1982,1984,F,6-8,220,"October 18, 1958",Duke University,http://basketball-reference.com/players/d/dennake01.html, Right,1958-10-18,
Blaine Denning,1953,1953,G,6-2,175,"September 19, 1930",Lawrence Technological University,http://basketball-reference.com/players/d/dennibl01.html, Left,1930-09-19,
Justin Dentmon,2012,2013,G,5-11,185,"September 5, 1985",University of Washington,http://basketball-reference.com/players/d/dentmju01.html, Right,1985-09-05,
Randy Denton,1972,1977,C,6-10,240,"February 18, 1949",Duke University,http://basketball-reference.com/players/d/dentora01.html, Right,1949-02-18,
Joe DePre,1971,1973,G,6-3,185,"December 19, 1947",St. John's University,http://basketball-reference.com/players/d/deprejo01.html, Right,1947-12-19,
Rod Derline,1975,1976,G,6-0,175,"March 11, 1952",Seattle University,http://basketball-reference.com/players/d/derliro01.html, Right,1952-03-11,
DeMar DeRozan,2010,2015,G,6-7,220,"August 7, 1989",University of Southern California,http://basketball-reference.com/players/d/derozde01.html, Right,1989-08-07,
Dave Deutsch,1967,1967,G,6-1,170,"May 13, 1945",University of Rochester,http://basketball-reference.com/players/d/deutsda01.html, Right,1945-05-13,
Corky Devlin,1956,1958,G,6-5,195,"December 21, 1931",George Washington University,http://basketball-reference.com/players/d/devlico01.html, Right,1931-12-21,1995-04-28
Hank DeZonie,1951,1951,C-F,6-6,215,"February 12, 1922",Clark Atlanta University,http://basketball-reference.com/players/d/dezonha01.html, Right,1922-02-12,2009-01-02
Derrick Dial,2000,2004,G,6-4,184,"December 20, 1975",Eastern Michigan University,http://basketball-reference.com/players/d/dialde01.html, Right,1975-12-20,
Boris Diaw,2004,2015,F-C,6-8,215,"April 16, 1982", ,http://basketball-reference.com/players/d/diawbo01.html, Right,1982-04-16,
Yakhouba Diawara,2007,2010,F,6-7,225,"August 29, 1982",Pepperdine University,http://basketball-reference.com/players/d/diawaya01.html, Right,1982-08-29,
Guillermo Diaz,2008,2008,G,6-2,192,"March 4, 1985",University of Miami,http://basketball-reference.com/players/d/diazgu01.html, Right,1985-03-04,
Dan Dickau,2003,2008,G,6-0,190,"September 16, 1978",Gonzaga University,http://basketball-reference.com/players/d/dickada01.html, Right,1978-09-16,
Kaniel Dickens,2004,2008,F,6-8,215,"July 21, 1978",University of Idaho,http://basketball-reference.com/players/d/dickeka01.html, Right,1978-07-21,
Henry Dickerson,1976,1977,G,6-4,190,"November 27, 1951",University of Charleston,http://basketball-reference.com/players/d/dickehe01.html, Right,1951-11-27,
Michael Dickerson,1999,2003,G-F,6-5,190,"June 25, 1975",University of Arizona,http://basketball-reference.com/players/d/dickemi01.html, Right,1975-06-25,
Clyde Dickey,1975,1975,G,6-3,185,"December 14, 1951",Boise State University,http://basketball-reference.com/players/d/dickecl01.html, Right,1951-12-14,2003-01-30
Derrek Dickey,1974,1978,F,6-7,218,"March 20, 1951",University of Cincinnati,http://basketball-reference.com/players/d/dickede01.html, Right,1951-03-20,2002-06-25
Dick Dickey,1952,1952,G,6-1,175,"October 26, 1926",North Carolina State University,http://basketball-reference.com/players/d/dickedi01.html, Right,1926-10-26,2006-07-03
John Dickson,1968,1968,C,6-10,240,"November 18, 1945",Arkansas State University,http://basketball-reference.com/players/d/dicksjo01.html, Right,1945-11-18,
Travis Diener,2006,2010,G,6-1,175,"March 1, 1982",Marquette University,http://basketball-reference.com/players/d/dienetr01.html, Right,1982-03-01,
Gorgui Dieng,2014,2015,C,6-11,245,"January 18, 1990",University of Louisville,http://basketball-reference.com/players/d/dienggo01.html, Right,1990-01-18,
Connie Dierking,1959,1971,C-F,6-9,222,"October 2, 1936",University of Cincinnati,http://basketball-reference.com/players/d/dierkco01.html, Right,1936-10-02,2013-12-29
Coby Dietrick,1971,1983,C-F,6-10,220,"July 23, 1948",San Jose State University,http://basketball-reference.com/players/d/dietrco01.html, Right,1948-07-23,
Ernie DiGregorio,1974,1978,G,6-0,180,"January 15, 1951",Providence College,http://basketball-reference.com/players/d/digreer01.html, Right,1951-01-15,
Craig Dill,1968,1968,C,6-11,215,"December 17, 1944",University of Michigan,http://basketball-reference.com/players/d/dillcr01.html, Right,1944-12-17,
Dwaine Dillard,1976,1976,F,6-6,230,"March 9, 1949",Eastern Michigan University,http://basketball-reference.com/players/d/dilladu01.html, Right,1949-03-09,2008-06-25
Mickey Dillard,1982,1982,G,6-3,170,"October 15, 1958",Florida State University,http://basketball-reference.com/players/d/dillami01.html, Right,1958-10-15,
Bob Dille,1947,1947,F,6-3,190,"July 2, 1917",Valparaiso University,http://basketball-reference.com/players/d/dillebo01.html, Right,1917-07-02,1998-12-10
Hook Dillon,1950,1950,F,6-3,180,"January 8, 1924",University of North Carolina,http://basketball-reference.com/players/d/dilloho01.html, Right,1924-01-08,2004-01-18
Byron Dinkins,1990,1991,G,6-1,170,"June 15, 1967",University of North Carolina at Charlotte,http://basketball-reference.com/players/d/dinkiby01.html, Right,1967-06-15,
Jackie Dinkins,1972,1972,F,6-5,210,"January 22, 1950",Voorhees College,http://basketball-reference.com/players/d/dinkija01.html, Right,1950-01-22,
Harry Dinnel,1968,1968,F-G,6-4,200, ,Pepperdine University,http://basketball-reference.com/players/d/dinneha01.html, Right,,
Bill Dinwiddie,1968,1972,F,6-7,220,"July 15, 1943",New Mexico Highlands University,http://basketball-reference.com/players/d/dinwibi01.html, Right,1943-07-15,
Spencer Dinwiddie,2015,2015,G,6-6,200,"April 6, 1993",University of Colorado,http://basketball-reference.com/players/d/dinwisp01.html, Right,1993-04-06,
Ike Diogu,2006,2012,F,6-8,250,"September 11, 1983",Arizona State University,http://basketball-reference.com/players/d/dioguik01.html, Right,1983-09-11,
DeSagana Diop,2002,2013,C,7-0,300,"January 30, 1982", ,http://basketball-reference.com/players/d/diopde01.html, Right,1982-01-30,
Terry Dischinger,1963,1973,F-G,6-7,189,"November 21, 1940",Purdue University,http://basketball-reference.com/players/d/dischte01.html, Right,1940-11-21,
Fred Diute,1955,1955,G,6-3,210,"January 9, 1929",St. Bonaventure University,http://basketball-reference.com/players/d/diutefr01.html, Right,1929-01-09,2004-07-19
Vlade Divac,1990,2005,C,7-1,243,"February 3, 1968", ,http://basketball-reference.com/players/d/divacvl01.html, Right,1968-02-03,
Juan Dixon,2003,2009,G,6-3,164,"October 9, 1978",University of Maryland,http://basketball-reference.com/players/d/dixonju01.html, Right,1978-10-09,
Aleksandar Djordjevic,1997,1997,G,6-2,198,"August 26, 1967", ,http://basketball-reference.com/players/d/djordal01.html, Right,1967-08-26,
Earl Dodd,1950,1950,F,6-5,175,"November 1, 1924",Truman State University,http://basketball-reference.com/players/d/doddea01.html, Right,1924-11-01,2004-10-30
Michael Doleac,1999,2008,C,6-11,262,"June 15, 1977",University of Utah,http://basketball-reference.com/players/d/doleami01.html, Right,1977-06-15,
Joe Dolhon,1950,1951,G,6-0,175,"July 9, 1927",New York University,http://basketball-reference.com/players/d/dolhojo01.html, Right,1927-07-09,1981-01-05
Bob Doll,1947,1950,F-C,6-5,195,"August 10, 1919",University of Colorado,http://basketball-reference.com/players/d/dollbo01.html, Right,1919-08-10,1959-09-18
James Donaldson,1981,1995,C,7-2,275,"August 16, 1957",Washington State University,http://basketball-reference.com/players/d/donalja01.html, Right,1957-08-16,
Bob Donham,1951,1954,G-F,6-2,190,"October 11, 1926",Ohio State University,http://basketball-reference.com/players/d/donhabo01.html, Right,1926-10-11,1983-09-21
Billy Donovan,1988,1988,G,5-11,171,"May 30, 1965",Providence College,http://basketball-reference.com/players/d/donovbi01.html, Right,1965-05-30,
Harry Donovan,1950,1950,G,6-2,180,"September 10, 1926",Muhlenberg College,http://basketball-reference.com/players/d/donovha01.html, Right,1926-09-10,
Keyon Dooling,2001,2013,G,6-3,196,"May 8, 1980",University of Missouri,http://basketball-reference.com/players/d/doolike01.html, Right,1980-05-08,
Jacky Dorsey,1978,1981,F,6-7,230,"December 18, 1954",University of Georgia,http://basketball-reference.com/players/d/dorseja01.html, Right,1954-12-18,
Joey Dorsey,2009,2015,F,6-8,268,"December 16, 1983",University of Memphis,http://basketball-reference.com/players/d/dorsejo01.html, Right,1983-12-16,
Ron Dorsey,1972,1972,F,6-4,200,"October 10, 1948",Tennessee State University,http://basketball-reference.com/players/d/dorsero01.html, Right,1948-10-10,
Quincy Douby,2007,2009,G,6-3,175,"May 16, 1984",Rutgers University,http://basketball-reference.com/players/d/doubyqu01.html, Right,1984-05-16,
Bruce Douglas,1987,1987,G,6-3,195,"April 9, 1964",University of Illinois at Urbana-Champaign,http://basketball-reference.com/players/d/douglbr01.html, Right,1964-04-09,
John Douglas,1982,1983,G,6-2,170,"June 12, 1956",University of Kansas,http://basketball-reference.com/players/d/dougljo01.html, Right,1956-06-12,
Leon Douglas,1977,1983,C-F,6-10,230,"August 26, 1954",University of Alabama,http://basketball-reference.com/players/d/douglle01.html, Right,1954-08-26,
Sherman Douglas,1990,2001,G,6-0,180,"September 15, 1966",Syracuse University,http://basketball-reference.com/players/d/douglsh01.html, Right,1966-09-15,
Toney Douglas,2010,2014,G,6-2,190,"March 16, 1986",Florida State University,http://basketball-reference.com/players/d/douglto01.html, Right,1986-03-16,
Chris Douglas-Roberts,2009,2015,G,6-7,200,"January 8, 1987",University of Memphis,http://basketball-reference.com/players/d/douglch01.html, Right,1987-01-08,
Sonny Dove,1968,1972,F,6-7,198,"August 16, 1945",St. John's University,http://basketball-reference.com/players/d/doveso01.html, Right,1945-08-16,1983-02-14
Jerry Dover,1972,1972,G,5-7,155,"October 16, 1949",LeMoyne-Owen College,http://basketball-reference.com/players/d/doverje01.html, Right,1949-10-16,2000-03-17
Zabian Dowdell,2011,2011,G,6-3,191,"September 10, 1984",Virginia Polytechnic Institute and State University,http://basketball-reference.com/players/d/dowdeza01.html, Right,1984-09-10,
Bill Downey,1948,1948,C,6-6,210,"November 11, 1923",Marquette University,http://basketball-reference.com/players/d/downebi01.html, Right,1923-11-11,
Steve Downing,1974,1975,C,6-8,225,"September 9, 1950",Indiana University,http://basketball-reference.com/players/d/downist01.html, Right,1950-09-09,
Danny Doyle,1963,1963,F,6-8,200,"February 6, 1940",Belmont Abbey College,http://basketball-reference.com/players/d/doyleda01.html, Right,1940-02-06,
Terry Dozier,1990,1990,F,6-9,210,"June 29, 1966",University of South Carolina,http://basketball-reference.com/players/d/doziete01.html, Right,1966-06-29,
Goran Dragic,2009,2015,G,6-3,190,"May 6, 1986", ,http://basketball-reference.com/players/d/dragigo01.html, Left,1986-05-06,
Zoran Dragic,2015,2015,G-F,6-5,200,"June 22, 1989", ,http://basketball-reference.com/players/d/dragizo01.html, Left,1989-06-22,
Greg Dreiling,1987,1997,C,7-1,250,"November 7, 1962",University of Kansas,http://basketball-reference.com/players/d/dreilgr01.html, Right,1962-11-07,
Bryce Drew,1999,2004,G,6-2,185,"September 21, 1974",Valparaiso University,http://basketball-reference.com/players/d/drewbr01.html, Right,1974-09-21,
John Drew,1975,1985,F-G,6-6,205,"September 30, 1954",Gardner-Webb University,http://basketball-reference.com/players/d/drewjo01.html, Right,1954-09-30,
Larry Drew,1981,1991,G,6-1,170,"April 2, 1958",University of Missouri,http://basketball-reference.com/players/d/drewla01.html, Right,1958-04-02,
Larry Drew,2015,2015,G,6-2,180,"March 5, 1990","University of California, Los Angeles",http://basketball-reference.com/players/d/drewla02.html, Right,1990-03-05,
Clyde Drexler*,1984,1998,G-F,6-7,210,"June 22, 1962",University of Houston,http://basketball-reference.com/players/d/drexlcl01.html, Right,1962-06-22,
Nate Driggers,1997,1997,G,6-5,215,"October 12, 1973",University of Montevallo,http://basketball-reference.com/players/d/driggna01.html, Right,1973-10-12,
Terry Driscoll,1971,1975,F,6-7,215,"August 28, 1947",Boston College,http://basketball-reference.com/players/d/driscte01.html, Right,1947-08-28,
Predrag Drobnjak,2002,2005,C,6-11,270,"October 27, 1975", ,http://basketball-reference.com/players/d/drobnpr01.html, Right,1975-10-27,
Ralph Drollinger,1981,1981,C,7-2,250,"April 20, 1954","University of California, Los Angeles",http://basketball-reference.com/players/d/drollra01.html, Left,1954-04-20,
Andre Drummond,2013,2015,C,6-10,270,"August 10, 1993",University of Connecticut,http://basketball-reference.com/players/d/drumman01.html, Right,1993-08-10,
Dick Duckett,1958,1958,G,6-1,185,"March 25, 1933",St. John's University,http://basketball-reference.com/players/d/duckedi01.html, Right,1933-03-25,
Kevin Duckworth,1987,1997,C,7-0,275,"April 1, 1964",Eastern Illinois University,http://basketball-reference.com/players/d/duckwke01.html, Right,1964-04-01,2008-08-25
Charles Dudley,1973,1979,G,6-2,180,"March 5, 1950",University of Washington,http://basketball-reference.com/players/d/dudlech01.html, Right,1950-03-05,
Chris Dudley,1988,2003,C,6-11,235,"February 22, 1965",Yale University,http://basketball-reference.com/players/d/dudlech02.html, Right,1965-02-22,
Jared Dudley,2008,2015,F,6-7,225,"July 10, 1985",Boston College,http://basketball-reference.com/players/d/dudleja01.html, Right,1985-07-10,
Terry Duerod,1980,1983,G,6-2,180,"July 29, 1956",University of Detroit Mercy,http://basketball-reference.com/players/d/duerote01.html, Right,1956-07-29,
Bob Duffy,1947,1947,F,6-4,175,"July 5, 1922",Tulane University,http://basketball-reference.com/players/d/duffybo01.html, Right,1922-07-05,
Bob Duffy,1963,1965,G,6-3,185,"September 26, 1940",Colgate University,http://basketball-reference.com/players/d/duffybo02.html, Right,1940-09-26,
Chris Duhon,2005,2013,G,6-1,185,"August 31, 1982",Duke University,http://basketball-reference.com/players/d/duhonch01.html, Right,1982-08-31,
Walter Dukes,1956,1963,C,7-0,220,"June 23, 1930",Seton Hall University,http://basketball-reference.com/players/d/dukeswa01.html, Right,1930-06-23,2001-03-13
Joe Dumars*,1986,1999,G,6-3,190,"May 24, 1963",McNeese State University,http://basketball-reference.com/players/d/dumarjo01.html, Right,1963-05-24,
Rich Dumas,1969,1969,G,6-3,170, ,Northeastern State University,http://basketball-reference.com/players/d/dumasri01.html, Right,,
Richard Dumas,1993,1996,F,6-7,200,"May 19, 1969",Oklahoma State University,http://basketball-reference.com/players/d/dumasri02.html, Right,1969-05-19,
Tony Dumas,1995,1998,G,6-6,190,"August 25, 1972",University of Missouri-Kansas City,http://basketball-reference.com/players/d/dumasto01.html, Right,1972-08-25,
Andy Duncan,1949,1951,F-C,6-6,195,"April 17, 1922",College of William & Mary,http://basketball-reference.com/players/d/duncaan01.html, Right,1922-04-17,2006-04-12
Tim Duncan,1998,2015,F-C,6-11,248,"April 25, 1976",Wake Forest University,http://basketball-reference.com/players/d/duncati01.html, Right,1976-04-25,
Mike Dunleavy,1977,1990,G,6-3,180,"March 21, 1954",University of South Carolina,http://basketball-reference.com/players/d/dunlemi01.html, Right,1954-03-21,
Mike Dunleavy,2003,2015,F-G,6-9,220,"September 15, 1980",Duke University,http://basketball-reference.com/players/d/dunlemi02.html, Right,1980-09-15,
Pat Dunn,1958,1958,G,6-2,170,"March 17, 1931",Utah State University,http://basketball-reference.com/players/d/dunnpa01.html, Right,1931-03-17,1975-11-11
T.R. Dunn,1978,1991,G-F,6-4,192,"February 1, 1955",University of Alabama,http://basketball-reference.com/players/d/dunntr01.html, Right,1955-02-01,
Ronald Dupree,2004,2011,F,6-7,209,"January 26, 1981",Louisiana State University,http://basketball-reference.com/players/d/duprero01.html, Right,1981-01-26,
Kevin Durant,2008,2015,F,6-9,240,"September 29, 1988",University of Texas at Austin,http://basketball-reference.com/players/d/duranke01.html, Right,1988-09-29,
John Duren,1981,1983,G,6-3,195,"October 30, 1958",Georgetown University,http://basketball-reference.com/players/d/durenjo01.html, Right,1958-10-30,
Jarrett Durham,1972,1972,F,6-5,188,"August 22, 1949",Duquesne University,http://basketball-reference.com/players/d/durhaja01.html, Right,1949-08-22,
Pat Durham,1993,1995,F,6-7,210,"March 10, 1967",Colorado State University,http://basketball-reference.com/players/d/durhapa01.html, Right,1967-03-10,
Devin Durrant,1985,1986,F,6-7,200,"October 20, 1960",Brigham Young University,http://basketball-reference.com/players/d/durrade01.html, Right,1960-10-20,
Ken Durrett,1972,1975,F,6-7,190,"December 8, 1948",La Salle University,http://basketball-reference.com/players/d/durreke01.html, Right,1948-12-08,2001-01-07
Dennis DuVal,1975,1976,G,6-3,175,"March 31, 1952",Syracuse University,http://basketball-reference.com/players/d/duvalde01.html, Right,1952-03-31,
Jack Dwan,1949,1949,F-G,6-4,200,"May 3, 1921",Loyola University of Chicago,http://basketball-reference.com/players/d/dwanja01.html, Right,1921-05-03,1993-08-04
Craig Dykema,1982,1982,F,6-8,190,"June 11, 1959","California State University, Long Beach",http://basketball-reference.com/players/d/dykemcr01.html, Right,1959-06-11,
Gene Dyker,1954,1954,F,6-6,225,"February 17, 1930",DePaul University,http://basketball-reference.com/players/d/dykerge01.html, Right,1930-02-17,
Jerome Dyson,2012,2012,G,6-3,180,"May 1, 1987",University of Connecticut,http://basketball-reference.com/players/d/dysonje01.html, Right,1987-05-01,
Ledell Eackles,1989,1998,G-F,6-5,220,"November 24, 1966",University of New Orleans,http://basketball-reference.com/players/e/eacklle01.html, Right,1966-11-24,
Jim Eakins,1969,1978,C,6-11,215,"May 24, 1946",Brigham Young University,http://basketball-reference.com/players/e/eakinji01.html, Right,1946-05-24,
Acie Earl,1994,1997,F-C,6-10,240,"June 23, 1970",University of Iowa,http://basketball-reference.com/players/e/earlac01.html, Right,1970-06-23,
Ed Earle,1954,1954,F,6-3,190,"April 28, 1927",Loyola University of Chicago,http://basketball-reference.com/players/e/earleed01.html, Right,1927-04-28,2009-03-26
Cleanthony Early,2015,2015,F,6-8,219,"April 17, 1991",Wichita State University,http://basketball-reference.com/players/e/earlycl01.html, Right,1991-04-17,
Penny Early,1969,1969,G,5-3,114,"May 30, 1943", ,http://basketball-reference.com/players/e/earlype01.html, Right,1943-05-30,
Mark Eaton,1983,1993,C,7-4,275,"January 24, 1957","University of California, Los Angeles",http://basketball-reference.com/players/e/eatonma01.html, Left,1957-01-24,
Jerry Eaves,1983,1987,G,6-4,180,"February 8, 1959",University of Louisville,http://basketball-reference.com/players/e/eavesje01.html, Right,1959-02-08,
Devin Ebanks,2011,2013,F,6-9,215,"October 28, 1989",West Virginia University,http://basketball-reference.com/players/e/ebankde01.html, Right,1989-10-28,
Bill Ebben,1958,1958,G,6-4,190,"October 7, 1935",University of Detroit Mercy,http://basketball-reference.com/players/e/ebbenbi01.html, Right,1935-10-07,
Al Eberhard,1975,1978,F,6-6,225,"May 10, 1952",University of Missouri,http://basketball-reference.com/players/e/eberhal01.html, Right,1952-05-10,
Ndudi Ebi,2004,2005,F,6-9,200,"June 18, 1984", ,http://basketball-reference.com/players/e/ebind01.html, Right,1984-06-18,
Roy Ebron,1974,1974,C,6-9,220,"August 31, 1951",University of Louisiana at Lafayette,http://basketball-reference.com/players/e/ebronro01.html, Right,1951-08-31,
Patrick Eddie,1992,1992,C,6-11,240,"December 27, 1967",University of Mississippi,http://basketball-reference.com/players/e/eddiepa01.html, Right,1967-12-27,
Dike Eddleman,1950,1953,F-G,6-3,189,"December 27, 1922",University of Illinois at Urbana-Champaign,http://basketball-reference.com/players/e/eddledi01.html, Right,1922-12-27,2001-08-01
Kenton Edelin,1985,1985,F,6-8,205,"May 24, 1962",University of Virginia,http://basketball-reference.com/players/e/edelike01.html, Right,1962-05-24,
Charles Edge,1974,1975,F,6-6,210,"February 23, 1950",LeMoyne-Owen College,http://basketball-reference.com/players/e/edgech01.html, Right,1950-02-23,
Bobby Edmonds,1968,1970,F,6-6,220,"March 8, 1941",Tennessee State University,http://basketball-reference.com/players/e/edmonbo01.html, Right,1941-03-08,1991-11-12
Keith Edmonson,1983,1984,G,6-5,195,"September 28, 1960",Purdue University,http://basketball-reference.com/players/e/edmonke01.html, Right,1960-09-28,
Tyus Edney,1996,2001,G,5-10,152,"February 14, 1973","University of California, Los Angeles",http://basketball-reference.com/players/e/edneyty01.html, Right,1973-02-14,
Bill Edwards,1994,1994,F,6-8,215,"September 22, 1971",Wright State University,http://basketball-reference.com/players/e/edwarbi01.html, Right,1971-09-22,
Blue Edwards,1990,1999,G-F,6-4,200,"October 31, 1965",East Carolina University,http://basketball-reference.com/players/e/edwarbl01.html, Right,1965-10-31,
Corsley Edwards,2005,2005,F,6-9,275,"March 5, 1979",Central Connecticut State University,http://basketball-reference.com/players/e/edwarco01.html, Right,1979-03-05,
Doug Edwards,1994,1996,F,6-7,220,"January 21, 1971",Florida State University,http://basketball-reference.com/players/e/edwardo01.html, Right,1971-01-21,
Franklin Edwards,1982,1988,G,6-1,170,"February 2, 1959",Cleveland State University,http://basketball-reference.com/players/e/edwarfr01.html, Right,1959-02-02,
James Edwards,1978,1996,C-F,7-0,225,"November 22, 1955",University of Washington,http://basketball-reference.com/players/e/edwarja01.html, Right,1955-11-22,
Jay Edwards,1990,1990,G,6-4,185,"January 3, 1969",Indiana University,http://basketball-reference.com/players/e/edwarja02.html, Right,1969-01-03,
John Edwards,2005,2006,C,7-0,275,"July 31, 1981",Kent State University,http://basketball-reference.com/players/e/edwarjo01.html, Right,1981-07-31,
Kevin Edwards,1989,2001,G,6-3,190,"October 30, 1965",DePaul University,http://basketball-reference.com/players/e/edwarke01.html, Right,1965-10-30,
Shane Edwards,2014,2014,F,6-7,220,"May 31, 1987",University of Arkansas at Little Rock,http://basketball-reference.com/players/e/edwarsh01.html, Right,1987-05-31,
Johnny Egan,1962,1972,G,5-11,180,"January 31, 1939",Providence College,http://basketball-reference.com/players/e/eganjo01.html, Right,1939-01-31,
Lonnie Eggleston,1949,1949,G,6-0,170,"June 8, 1918",Oklahoma State University,http://basketball-reference.com/players/e/egglelo01.html, Right,1918-06-08,1998-07-10
Bulbs Ehlers,1948,1949,F-G,6-3,198,"March 10, 1923",Purdue University,http://basketball-reference.com/players/e/ehlerbu01.html, Right,1923-03-10,2013-06-17
Craig Ehlo,1984,1997,G-F,6-6,180,"August 11, 1961",Washington State University,http://basketball-reference.com/players/e/ehlocr01.html, Right,1961-08-11,
Rich Eichhorst,1962,1962,G,6-3,200,"October 21, 1933",Southeast Missouri State University,http://basketball-reference.com/players/e/eichhdi01.html, Right,1933-10-21,
Howard Eisley,1995,2006,G,6-2,177,"December 4, 1972",Boston College,http://basketball-reference.com/players/e/eisleho01.html, Right,1972-12-04,
Obinna Ekezie,2000,2005,F-C,6-9,270,"August 22, 1975",University of Maryland,http://basketball-reference.com/players/e/ekeziob01.html, Right,1975-08-22,
Khalid El-Amin,2001,2001,G,5-10,200,"April 25, 1979",University of Connecticut,http://basketball-reference.com/players/e/elamikh01.html, Right,1979-04-25,
Don Eliason,1947,1947,F,6-2,210,"July 24, 1918",Hamline University,http://basketball-reference.com/players/e/eliasdo01.html, Right,1918-07-24,2003-08-18
Mario Elie,1991,2001,G-F,6-5,210,"November 26, 1963",American International College,http://basketball-reference.com/players/e/eliema01.html, Right,1963-11-26,
Ray Ellefson,1949,1951,C,6-8,230,"November 18, 1922",West Texas A&M University,http://basketball-reference.com/players/e/ellefra01.html, Right,1922-11-18,1994-10-07
Wayne Ellington,2010,2015,G,6-4,200,"October 29, 1987",University of North Carolina,http://basketball-reference.com/players/e/ellinwa01.html, Right,1987-10-29,
Bob Elliott,1979,1981,C-F,6-9,225,"August 18, 1955",University of Arizona,http://basketball-reference.com/players/e/elliobo01.html, Right,1955-08-18,
Sean Elliott,1990,2001,F,6-8,205,"February 2, 1968",University of Arizona,http://basketball-reference.com/players/e/elliose01.html, Right,1968-02-02,
Bo Ellis,1978,1980,F,6-9,197,"August 8, 1954",Marquette University,http://basketball-reference.com/players/e/ellisbo02.html, Right,1954-08-08,
Boo Ellis,1959,1960,F,6-5,185,"February 11, 1936",Niagara University,http://basketball-reference.com/players/e/ellisbo01.html, Right,1936-02-11,2010-05-06
Dale Ellis,1984,2000,G-F,6-7,205,"August 6, 1960",University of Tennessee,http://basketball-reference.com/players/e/ellisda01.html, Right,1960-08-06,
Harold Ellis,1994,1998,G,6-5,200,"October 7, 1970",Morehouse College,http://basketball-reference.com/players/e/ellisha01.html, Right,1970-10-07,
Joe Ellis,1967,1974,F-G,6-6,175,"May 3, 1944",University of San Francisco,http://basketball-reference.com/players/e/ellisjo01.html, Right,1944-05-03,
LaPhonso Ellis,1993,2003,F,6-8,240,"May 5, 1970",University of Notre Dame,http://basketball-reference.com/players/e/ellisla01.html, Right,1970-05-05,
LeRon Ellis,1992,1996,F-C,6-9,225,"April 28, 1969",Syracuse University,http://basketball-reference.com/players/e/ellisle02.html, Right,1969-04-28,
Leroy Ellis,1963,1976,C-F,6-10,210,"March 10, 1940",St. John's University,http://basketball-reference.com/players/e/ellisle01.html, Right,1940-03-10,2012-06-02
Monta Ellis,2006,2015,G,6-3,175,"October 26, 1985", ,http://basketball-reference.com/players/e/ellismo01.html, Right,1985-10-26,
Pervis Ellison,1990,2001,F-C,6-9,210,"April 3, 1967",University of Louisville,http://basketball-reference.com/players/e/ellispe01.html, Right,1967-04-03,
Len Elmore,1975,1984,C-F,6-9,220,"March 28, 1952",University of Maryland,http://basketball-reference.com/players/e/elmorle01.html, Right,1952-03-28,
Francisco Elson,2004,2012,C,7-0,235,"February 28, 1976",University of California,http://basketball-reference.com/players/e/elsonfr01.html, Right,1976-02-28,
Darrell Elston,1975,1977,G,6-4,190,"August 15, 1952",University of North Carolina,http://basketball-reference.com/players/e/elstoda01.html, Right,1952-08-15,
Melvin Ely,2003,2014,C,6-10,260,"May 2, 1978","California State University, Fresno",http://basketball-reference.com/players/e/elyme01.html, Right,1978-05-02,
Wayne Embry*,1959,1969,C-F,6-8,240,"March 26, 1937",Miami University,http://basketball-reference.com/players/e/embrywa01.html, Right,1937-03-26,
Andre Emmett,2005,2012,F,6-5,230,"August 27, 1982",Texas Tech University,http://basketball-reference.com/players/e/emmetan01.html, Right,1982-08-27,
Ned Endress,1947,1947,F-G,6-2,200,"March 2, 1918",University of Akron,http://basketball-reference.com/players/e/endrene01.html, Right,1918-03-02,2010-06-19
Chris Engler,1983,1988,C,6-11,245,"March 1, 1959",University of Wyoming,http://basketball-reference.com/players/e/englech01.html, Right,1959-03-01,
